Investor Name,Fund Stage,Fund Focus (Sectors),Location
Andreessen Horowitz #20,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #21,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #22,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #23,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #24,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #25,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #26,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #27,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #28,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #29,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #30,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #31,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #32,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #33,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #34,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #35,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #36,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #37,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #38,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #39,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #40,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #41,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #42,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #43,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #44,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #45,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #46,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #47,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #48,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #49,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #50,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #51,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #52,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #53,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #54,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #55,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #56,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #57,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #58,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #59,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #60,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #61,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #62,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #63,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #64,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #65,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #66,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #67,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #68,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #69,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #70,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #71,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #72,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #73,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #74,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #75,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #76,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #77,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #78,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #79,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #80,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #81,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #82,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #83,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #84,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #85,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #86,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #87,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #88,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #89,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #90,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #91,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #92,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #93,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #94,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #95,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #96,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #97,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #98,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #99,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #100,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #101,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #102,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #103,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #104,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #105,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #106,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #107,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #108,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #109,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #110,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #111,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #112,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #113,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #114,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #115,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #116,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #117,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #118,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #119,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #120,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #121,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #122,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #123,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #124,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #125,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #126,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #127,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #128,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #129,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #130,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #131,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #132,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #133,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #134,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #135,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #136,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #137,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #138,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #139,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #140,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #141,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #142,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #143,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #144,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #145,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #146,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #147,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #148,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #149,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #150,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #151,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #152,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #153,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #154,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #155,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #156,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #157,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #158,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #159,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #160,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #161,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #162,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #163,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #164,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #165,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #166,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #167,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #168,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #169,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #170,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #171,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #172,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #173,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #174,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #175,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #176,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #177,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #178,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #179,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #180,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #181,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #182,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #183,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #184,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #185,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #186,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #187,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #188,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #189,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #190,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #191,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #192,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #193,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #194,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #195,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #196,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #197,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #198,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #199,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #200,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #201,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #202,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #203,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #204,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #205,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #206,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #207,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #208,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #209,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #210,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #211,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #212,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #213,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #214,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
